UserId,Username,JoinDate
1,user1,2023-01-01
2,user2,2023-02-15
3,user3,2023-03-20
4,user4,2021-04-10
5,user5,2021-05-05
6,user6,2021-06-10
7,user7,2021-07-15
8,user8,2021-08-20
9,user9,2021-09-10
10,user10,2021-10-05
11,user11,2021-11-10
12,user12,2021-12-15
13,user13,2022-01-01
14,user14,2022-02-15
15,user15,2022-03-20
16,user16,2022-04-10
17,user17,2023-05-05
18,user18,2022-06-10
19,user19,2022-07-15
20,user20,2022-08-20
21,user21,2021-01-01
22,user22,2021-02-15
23,user23,2021-03-20
24,user24,2021-04-10
25,user25,2021-05-05
26,user26,2021-06-10
27,user27,2021-07-15
28,user28,2023-08-20
29,user29,2021-09-10
30,user30,2021-10-05
31,user31,2021-11-10
32,user32,2021-12-15
33,user33,2022-01-01
34,user34,2022-02-15
35,user35,2022-03-20
36,user36,2022-04-10
37,user37,2022-05-05
38,user38,2022-06-10
